C;C E G;C D# G;C E G B;C D# G A#;C D# F# A#;C E G A#;C D# F#
C#;C# F G#;C# E G#;C# F G# C2;C# E G# B;C# E G B;C# F G# B;C# E G
D;D F# A;D F A;D F# A C2#;D F A C2;D F G# C2;D F# A C2;D F G#
D#;D# G A#;D# F# A#;D# G A# D2;D# F# A# C2#;D# F# A C2#;D# G A# C2#;D# F# A
E;E G# B;E G B;E G# B D2#;E G B D2;E G A# D2;E G# B D2;E G A#
F;F A C2;F G# C2;F A C2 E2;F G# C2 D2#;F G# B D2#;F A C2 D2#;F G# A#
F#;F# A# C2#;F# A C2#;F# A# C2# F2;F# A C2# E2;F# A C2 E2;F# A# C2# E2;F# A C2
G;G B D2;G A# D2;G B D2 F2#;G A# D2 F2;G A# C2# F2;G B D2 F2;G A# C2#
G#;G# C2 D2#;G# B D2#;G# C2 D2# G2;G# B D2# F2#;G# B D2 F2#;G# C2 D2# F2#;G# B D2
A;A C2# E2;A C2 E2;A C2# E2 G2#;A C2 E2 G2;A C2 D2# G2;A C2# E2 G2;A C2 D2#
A#;D# D2 F2;A# C2# F2;A# D2 F2 A2;A# C2# F2 G2#;A# C2# E2 G2#;A# D2 F2 G2#;A# C2# E
B;B D2# F2#;B D2 F2#;B D2# F2# A2#;B D2 F2# A;B D2 F2 A2;B D2# F2# A2;B D2 F2
